postcode,gemeente,lat,lon
1011JJ,Amsterdam,52.36835353,4.89688524
1011JK,Amsterdam,52.36827316,4.89794466
1011JL,Amsterdam,52.3682359,4.89669566
1011JM,Amsterdam,52.36820289,4.89740711
1011JN,Amsterdam,52.36764888,4.89755662
1011JP,Amsterdam,52.37269392,4.90108107
1011JR,Amsterdam,52.37252511,4.90096628
1011JS,Amsterdam,52.37236953,4.90087904
1011JT,Amsterdam,52.37197982,4.90009037
1011JV,Amsterdam,52.3716734,4.89988816
1011JW,Amsterdam,52.37084288,4.89900157
1011JX,Amsterdam,52.37059027,4.89876941
1011JZ,Amsterdam,52.37022045,4.89845044
1011KA,Amsterdam,52.36965201,4.89791341
1011KB,Amsterdam,52.36920076,4.89746321
1011KC,Amsterdam,52.3686866,4.89701371
1011KD,Amsterdam,52.36823554,4.89660757
1011KE,Amsterdam,52.36800709,4.89637756
1011KH,Amsterdam,52.37002255,4.89840857
1011KJ,Amsterdam,52.36975072,4.90005611
1011KK,Amsterdam,52.36974448,4.89822956
1011KM,Amsterdam,52.36780281,4.89628933
1011KN,Amsterdam,52.36782291,4.89680301
1011KP,Amsterdam,52.37167285,4.90634916
1011KR,Amsterdam,52.3714915,4.90595466
1011KS,Amsterdam,52.37134778,4.90561213
1011KT,Amsterdam,52.37108318,4.90500464
1011KV,Amsterdam,52.37080189,4.90434692
1011KW,Amsterdam,52.37070469,4.90366407
1011KX,Amsterdam,52.37204746,4.90564026
1011KZ,Amsterdam,52.37201858,4.90517068
1011LA,Amsterdam,52.37182799,4.90471754
1011LB,Amsterdam,52.37140776,4.90437339
1011LC,Amsterdam,52.37132914,4.90360699
1011LD,Amsterdam,52.37121123,4.90334396
1011LE,Amsterdam,52.37082111,4.9024525
1011LH,Amsterdam,52.37168202,4.90639312
1011LJ,Amsterdam,52.37073837,4.90420078
1011LK,Amsterdam,52.37054143,4.90439381
1011LL,Amsterdam,52.37003372,4.90236848
1011LM,Amsterdam,52.37131705,4.90726343
1011LN,Amsterdam,52.37009183,4.90433997
1011LP,Amsterdam,52.37142335,4.90688049
1011LR,Amsterdam,52.371242,4.90648599
1011LS,Amsterdam,52.37109671,4.90612047
1011LT,Amsterdam,52.37098514,4.90588315
1011LV,Amsterdam,52.37081554,4.90549211
1011LW,Amsterdam,52.37066108,4.90508264
1011LX,Amsterdam,52.3702799,4.9041764
1011LZ,Amsterdam,52.37051432,4.90878454
1011MA,Amsterdam,52.37198119,4.90066431
1011MB,Amsterdam,52.37200973,4.90080957
1011MC,Amsterdam,52.37101443,4.90137847
1011ME,Amsterdam,52.37210592,4.90087205
1011MG,Amsterdam,52.36992878,4.90845313
1011MH,Amsterdam,52.36951977,4.90732692
1011MJ,Amsterdam,52.36916539,4.90637634
1011MK,Amsterdam,52.36964231,4.90873521
1011ML,Amsterdam,52.36917974,4.90769768
1011MN,Amsterdam,52.36884322,4.90671755
1011MP,Amsterdam,52.36973218,4.90873424
1011MR,Amsterdam,52.3692692,4.90759393
1011MS,Amsterdam,52.36724133,4.90180153
1011MT,Amsterdam,52.36882417,4.90645346
1011MV,Amsterdam,52.3683892,4.90557719
1011MX,Amsterdam,52.37022831,4.90474963
1011MZ,Amsterdam,52.37011969,4.90455992
1011NA,Amsterdam,52.36976969,4.9068984
1011NB,Amsterdam,52.3694878,4.90609387
1011NC,Amsterdam,52.36932406,4.90561109
1011ND,Amsterdam,52.36916074,4.9052311
1011NE,Amsterdam,52.37242947,4.90234682
1011NG,Amsterdam,52.36985628,4.90168482
1011NH,Amsterdam,52.36908908,4.90308813
1011NK,Amsterdam,52.36887038,4.90235635
1011NM,Amsterdam,52.36907534,4.9019283
1011NN,Amsterdam,52.36904868,4.90200201
1011NP,Amsterdam,52.36904868,4.90200201
1011NR,Amsterdam,52.36904868,4.90200201
1011NS,Amsterdam,52.36904868,4.90200201
1011NV,Amsterdam,52.36911582,4.9008413
1011NX,Amsterdam,52.36894705,4.90132769
1011NZ,Amsterdam,52.36886707,4.90148588
1011PA,Amsterdam,52.36880434,4.90159355
1011PB,Amsterdam,52.36882238,4.90160804
1011PC,Amsterdam,52.36875114,4.90177033
1011PD,Amsterdam,52.36875132,4.90181438
1011PE,Amsterdam,52.36877816,4.90178472
1011PG,Amsterdam,52.3686273,4.90033972
1011PL,Amsterdam,52.36736682,4.90391447
1011PM,Amsterdam,52.36734674,4.90340079
1011PN,Amsterdam,52.3676456,4.90016547
1011PT,Amsterdam,52.36743316,4.89921891
1011PV,Amsterdam,52.36640557,4.90182536
1011PW,Amsterdam,52.36634278,4.90185541
1011PZ,Amsterdam,52.36803049,4.90577196
1011RA,Amsterdam,52.36762546,4.90562953
1011RB,Amsterdam,52.36748421,4.90599774
1011RC,Amsterdam,52.36739448,4.90629276
1011RD,Amsterdam,52.36776621,4.90487918
1011RE,Amsterdam,52.3676033,4.90460198
1011RG,Amsterdam,52.36718574,4.90579581
1011RH,Amsterdam,52.36716059,4.90403417
1011RJ,Amsterdam,52.36615447,4.90196025
1011RK,Amsterdam,52.36622588,4.90222895
1011RL,Amsterdam,52.36626484,4.9025757
1011RM,Amsterdam,52.36639271,4.9030735
1011RN,Amsterdam,52.36639385,4.90335245
1011RP,Amsterdam,52.3670792,4.90611999
1011RR,Amsterdam,52.36723276,4.90630919
1011RS,Amsterdam,52.36768415,4.90700931
1011RT,Amsterdam,52.36768493,4.90699438
1011RV,Amsterdam,52.36768493,4.90699438
1011RW,Amsterdam,52.36768493,4.90699438
1011RX,Amsterdam,52.36773016,4.90706731
1011RZ,Amsterdam,52.36796544,4.9074612
